,0
0,0.004618057163361463
1,-0.000816526242843313
2,0.012870472415667526
3,0.011745093617356981
4,0.009550076262533975
5,0.010417288499553368
6,-0.0
7,0.07124369494843051
8,0.030302550400921807
9,-0.005379244127834507
10,0.0015119958939871256
11,-0.0007632057918099443
12,0.009049788133187416
13,0.006329584277818639
14,0.005346471878462886
15,-0.004892335246501891
16,0.007774464668542464
17,0.005729489981999236
18,0.0026817245795244236
19,0.011873247673611363
20,-0.00515435117552104
21,0.001982406359393754
22,0.009298954258290828
23,0.008387558707290988
24,-0.006693385498207848
25,0.013054351472233706
26,0.016953719781717183
27,0.0151749422246433
28,0.015077754412883107
29,0.01469785234825786
30,0.011343522965141893
31,-0.16148075925811003
32,-3.194594836021063e-05
33,0.006905165810185592
34,0.003984391148087224
35,-0.011744827129014266
36,0.009901064822874499
37,0.012725808605400795
38,0.0020943313847442174
39,0.0004088496734937264
40,0.009066196395827045
41,0.0014058032211853274
42,0.007167430921191095
43,-0.01728579453211766
44,-0.002302891830923148
45,0.004716597887967759
46,-0.0017919575096106942
47,0.005637323242004825
48,0.010099855994384673
49,0.00641799862427867
50,0.010596537543976265
51,0.006560426734756516
52,0.002647306709594978
53,-0.0005451975320375714
54,-0.0005175566343256789
55,0.0052034760533424445
56,0.0015325764449876903
57,0.0008115173027958329
58,0.014728128704333673
59,0.014742991832328373
60,0.0010114595952648508
61,0.016619941282437697
62,0.002205722917274666
63,0.003951114156120124
64,-0.002295288119256839
65,0.003462333718046657
66,-0.0005212861608429002
67,-0.002932987962985359
68,0.010983112546736989
69,0.014064845991515414
70,0.010008764415033403
71,0.009330100281742387
72,0.0037430112432867385
73,0.003853392271121207
74,0.1072803445840376
75,0.1072803445840376
76,0.007815651753895436
77,0.008014054016528677
78,-0.005733161130044355
79,0.005737259214229677
80,-0.0003966489875576194
81,0.013789144143759697
82,0.007324131024267485
83,0.014554773831367116
84,0.013455309792205484
85,0.006887385685801159
86,0.005862015119563759
87,0.0023799434602786622
88,-0.00023079824314152468
89,8.588374120171917e-05
90,0.0019442887695589927
91,0.006755280696542169
92,0.005318107596149581
93,0.015454618031148925
94,0.014795312072947053
95,0.01300389852732976
96,-0.1095165337940117
97,-0.015369363491183473
98,0.013457786495555164
99,0.014626913796578664
100,0.011440873342333494
101,0.010251047002396832
102,0.009121472663480162
103,0.0016686455282314827
104,-0.00039040395055568196
105,0.18329843404145
106,0.01045959819089896
107,0.007026052758209122
108,0.005586069328867545
109,0.011350962685948898
110,0.011350962685948898
111,-0.007475343698969224
112,0.009615190347237743
113,0.014192869809751384
114,0.012519158608423078
115,0.007441925920352752
116,-0.0010739879386379393
117,-0.01018989677934187
118,0.015711789184842468
119,0.004694668744151307
120,6.773115679315651e-05
121,0.012586660760896722
122,0.009311875266700383
123,-0.05690575159113503
124,-0.03804948690261816
125,-0.0019998207572076206
126,-0.00030794266000411973
127,0.0164692197840016
128,0.016189321622681933
129,0.0008207512017203968
130,-0.0
131,0.013652677533731812
132,0.011884849116401164
133,0.008884697214907936
134,0.0099195057648686
135,0.005135413762064125
136,0.006806183711001521
137,0.009861596087151847
138,0.006127728976562238
139,-0.10816405855072944
140,-0.01566944592257925
141,-0.005493683871177348
142,0.016081006762965172
143,-0.0027849723765643753
144,0.01043723411054692
145,0.005017078950475959
146,-0.01653206047285537
147,0.013722796921046661
148,0.006046413241809014
149,3.386232517025645
150,7.59850985465349
151,-0.27079790161407014
152,0.010760034353774888
153,0.012493297488481006
154,0.008255524520227589
155,0.0069543515619675065
156,-0.00011646363607065211
157,0.011105930311677009
158,0.016113463135064687
159,0.01601723659323165
160,0.011817710471870854
161,-0.02129101652939084
162,-0.0
163,0.0
164,-0.0
165,-0.0
166,0.0
167,-0.0
168,-0.0
169,0.0
170,-0.0
171,-0.0
172,-0.0
173,-0.0
174,-0.0
175,-0.0
176,-0.0
177,-0.0
178,-0.0
179,-0.0
180,-0.0
181,-0.0
182,-0.0
183,-0.0
184,-0.0
185,-0.0
186,-0.0
187,-0.0
188,-0.0
189,-0.0
190,-0.0
191,-0.0
192,-0.0
193,-0.0
194,-0.0
195,-0.0
196,-0.0
197,-0.0
198,-0.0
199,-0.0
200,-0.0
201,-0.0
202,-0.0
203,-0.0
204,-0.0
205,-0.0
206,-0.0
207,-0.0
208,-0.0
209,-0.0
210,-0.0
211,-0.0
212,-0.0
213,-0.0
214,-0.0
215,-0.0
216,-0.0
217,-0.0
218,-0.0
219,-0.0
220,-0.0
221,-0.0
222,-0.0
223,-0.0
224,-0.0
225,-0.0
226,-0.0
227,-0.0
